seq1,seq2,energy1,energy2
1111011100001011001010100110100001110,1101001101110110010111100010000100011,1629,1629
1010001011000110101111100011000100111,1101001000001001101010110111110001101,1637,1637
1010000101001111011010000111011100011,1000000011010101110011011101101100101,1641,1641
1100110111101011110010011010100010000,1000011111110000110010111001101001010,1641,1641
1000111010000011101111011110101000100,1011000011110001100110101001001011101,1637,1637
1001001111011000011000111010101001011,1111111011101000110110001010010010000,1637,1637
1010000011111000110100011010011010111,1001000110011000010100110111110111010,1645,1645
1000010011101010011010011101001100111,1011111101101010001010010011100000011,1645,1645
1010011000111101000101111001011000101,1001100000001011100101010011011111011,1641,1641
1101000110001100111100101101001010101,1011111100010010001101100000100111110,1641,1641
1000100100111111001111110000100011010,1001110101100101100011011101010000110,1637,1637
1000100111111011110010011010001010100,1111101000010101100111001110010110000,1641,1641
1001101111001000111010011100101100010,1110010001010000011010101101100011111,1633,1633
1000110011011000011010101111001000111,1011111111001100101010010010110000010,1637,1637
1101000010110111011100000111000110101,1001001011000010001101010011011101111,1637,1637
1001111000101010011111001001011010001,1111111101010110000100110001101000100,1637,1637
1111000001110111001101000110100110010,1001000010001010010111100101011101111,1637,1637
1111011101110000010001000110111101000,1100010111010010010110101100010110011,1645,1645
1001101100011100001101111001010101001,1111101010110100100100111000000011101,1637,1637
1010010001111001011100011010100001111,1001000010001100110110010101111101110,1649,1649
1001011001101111110001101110000001001,1110101101000011100111101001010001010,1665,1665
1011100101001101011110000011100110100,1011000001000100011111010100111011101,1645,1645
1100011100100110001101011110100000111,1011111010100001000110010101001101101,1641,1641
1101011101000111001001100111100010010,1010111110100011111011000100001000101,1633,1633
1000001110011010111001010100011001111,1010010000110101000100100111110110111,1641,1641
1000111011001100100110101110000110101,1111100111010000010101101000001101011,1641,1641
1000010101111001110000011010110011101,1000010110000100110110110011111101010,1645,1645
1000111110001000111001101011011000101,1111111101010101101000110010010010000,1641,1641
1100101010001101101110000011100110011,1101101111010010100010101100000100111,1637,1637
1010111010101000011110011001110000101,1111101101110110011000010110100000100,1641,1641
1010111010101100001110010111101000001,1111011100100110010000010110110001110,1645,1645
1010101100011000110101111001001001011,1001010000001111000001101101110111011,1641,1641
1111000001100111110010100010110101001,1000001001010011110111001101110101001,1645,1645
1100001010111010011100011010010011101,1001001110110100000100010011110101111,1641,1641
1001011011011000001110111000111001010,1001000001010100011011000111011011111,1637,1637
1010111011000100111010001111001100001,1101111101000101000010010110110001011,1641,1641
1010101100011010011011001010111000011,1111111011011100010000100101110010000,1645,1645
1000001011111000110100110001011110101,1110011011110011101010010010001000101,1641,1641
1111001010110100100110101110100011000,1100100010000011110100001110111101110,1637,1637
1110010001010010110001001001111101110,1011111000011010111100101000100111000,1635,1635
1110010001010010110001001001111101110,1000011110111000011010001010110011110,1635,1635
1110010001010010110001001001111101110,1100001111111000101001101000111001010,1635,1635
1110010001010010110001001001111101110,1000011010111110100001111000101011001,1635,1635
1000100100101011001100011111101110100,1011111000011010111100101000100111000,1635,1635
1000100100101011001100011111101110100,1000011110111000011010001010110011110,1635,1635
1000100100101011001100011111101110100,1100001111111000101001101000111001010,1635,1635
1000100100101011001100011111101110100,1000011010111110100001111000101011001,1635,1635
1110100111101100011010001001000101011,1000100100011010110011110001010011111,1639,1639
1111111101011001010001001100101010000,1100111011010011101000011110011000010,1633,1633
1001111100111010000001011001010011011,1101000011010001011011100101000111011,1633,1633
1111111100110100101100010010101000100,1000100011011110010101110000111100110,1633,1633
1111101011001101111010100001001001000,1000100011011110010101110000111100110,1633,1633
1011001000011110111010111101000110000,1011011100100011001011011101011100000,1635,1635
1010010100110010001000111100011111110,1011011001101000001011110011100010101,1635,1635
1001110111110110000111000000110101010,1000110010001101111010110000110110110,1637,1637
1100000110100100011000110101011101111,1001000111110110101000101101100011100,1631,1631
1001001111101101111000101000011001010,1010001011001110110001100101000011111,1635,1635
1001110111101011000001000101110001011,1001111101100101001011011000101110000,1637,1637
1100000100011010001101010011110110111,1011101010111001100001101011011000001,1635,1635
1100101010100100000111001101111110010,1101101000010011111000011001010111001,1633,1633
1000101101011100101111101011001000001,1110110010100011111100001010011000110,1635,1635
1111001010111101001000001000111011001,1010111000100111110010100010110001101,1633,1633
