seq1,seq2,energy1,energy2
1111101011000110100000110,1111011000101010011011000,510,510
1010100011111001100100101,1000010100011100110111110,510,510
1111110101001100001010100,1100100001111001101001101,514,514
1110000100010111110110100,1110001001110100011011010,514,514
1111110100010100100011100,1101100001110101001001110,514,514
1001011100100111100101001,1111110111000101010010000,518,518
1000111110010001101101001,1101000110000101010110111,514,514
1111110101100010100010100,1110110000111101001001100,518,518
1001001110100110100101011,1111110111000110010100000,514,514
1111001100101010000011110,1001000110101001101001111,510,510
1111011100000011010011010,1111100010100110011010100,510,510
1111011001111000010001010,1101001011101100001011001,512,512
1111011001111000010001010,1101110110010100101110000,512,512
1000000110101110110110101,1111001100100011110001010,514,514
1111111010001101000011000,1010010011010101001100111,514,514
1111110110010000101011000,1000011011101010011010011,512,512
1110000010010111111001100,1011010001011100011010101,512,512
1111111001101010010100000,1001001101100111000111010,514,514
1111101110011010100100000,1011101001010011001111000,512,512
1000110000100110101011111,1001001001111000101011011,512,512
1010010010001100101011111,1100010101111000110010011,512,512
1000001001111011110100011,1001011101100011010101100,512,512
1111110101100011010000010,1100101011001001101110001,512,512
1011000000111000101101111,1011001100101011010001110,514,514
1011000000111000101101111,1010101001110110001101001,514,514
1011011000111000000101111,1011001100101011010001110,514,514
1011011000111000000101111,1010101001110110001101001,514,514
1010111110110010111000000,1001010110001101101100011,514,514
1101101011111000001001001,1101000101101011100011001,514,514
1000101010001001011011111,1011000110001111010001101,514,514
1000010000110110101011111,1001100110100111100010101,512,512
1011110110101110100010000,1010011001110100001111001,514,514
1011110100100011000011011,1010011011010100011111000,514,514
1110101110111000010010001,1110010010111100010100110,512,512
1110101110111000010010001,1010110110001011101100001,512,512
1101111010011000001011001,1011000011110110001010101,516,516
1100000100100111011100111,1101011000101011011010001,514,514
1110111010110111001000000,1010011010011101000111100,514,514
1011100111110101001000010,1100011001011011001000111,516,516
1111110100010000101110100,1001011000111011001010011,516,516
1111110110101010011000000,1101001101001011100011001,514,514
1010000010011101100111110,1111000110100110101100010,514,514
1100111011010100000100111,1010100110100111100010011,512,512
1001001100001010100111111,1001111000101011011010001,516,516
1111111001011010100001000,1100101110001011100110010,518,518
1011110110101011000001001,1000011110101000111001101,512,512
