seq1,seq2,energy1,energy2
11111010110011001010000,11111010110011001010000,396,396
11011110100010011000011,10100100101110110001110,400,400
10111011111000100110000,11011010010111001010001,402,402
10101111101100100010100,11000110111100001110100,402,402
10110011111010110000010,11100110001011011000101,402,402
11111101000010001110100,11011001110001010110100,400,400
10101111011100000100110,11001000111101001101001,400,400
11111011100110010100000,11001001011100010110101,400,400
11001001010001001111101,10101000111110001100101,400,400
11000001011000110111110,10101001011100010110011,402,402
11111011010100110000010,11100010111001001011100,400,400
10010111110110011000010,10100011011100001101011,400,400
11011111001010000011100,11000110111010001011010,400,400
11111101000100001110100,10110101001100111000101,402,402
11111101100000110010100,10001111001010110011010,404,404
11101101011000000110110,10101000111101001100011,404,404
11101011001010000011101,11101000110011011010001,404,404
11001111101010010000101,10111010010011110011000,404,404
11110110111000101000010,10111010010011110011000,404,404
10111011111000011000100,10001110110001010110110,402,402
11101101111000000101100,10100101011100011001011,402,402
11110011001010000011110,10001011101000110110101,402,402
10000111101110110100010,11100100011110010100110,402,402
10000111101110110100010,10011110100011001110100,402,402
10111011111000010010100,10100011011100011001011,402,402
10111011111000010010100,10101000111100100110011,402,402
10111011101011011000000,10011010110100011110001,404,404
10110101000001100111110,10100110111000011101100,402,402
