seq1,seq2,energy1,energy2
11111011100100001010110010010111000,11111011100100001010110010010111000,1377,1377
10011100111010011000011011101010100,10000101111100111111001001000011010,1389,1389
11010111110010011110101000010010001,11101000011001010011111011000101100,1381,1381
11111111000110101011100001001001000,10101110110010011000111010000110101,1383,1383
11101011011011000111100000010001110,11110000110010010011101110101001010,1383,1383
10010110010000010111001111100111010,10101001101001110100000011110111001,1383,1383
11111001111011000110101010000100100,11011100010110000011011101010010011,1385,1385
11110011111010010011101000010001010,11011010101100101100111100000011001,1383,1383
11101000000110001110111110100110100,11011001010110010001111000100101011,1385,1385
11111110110000101010010001110010010,10011001101010100111100111100000101,1387,1387
11000100011000101110111111001001001,11100010110111101010010010111010000,1387,1387
10011111011011011000010100101010001,11100100011011111010100010011110000,1387,1387
11001101111100000101000100101111001,11010001110111010000101001011100110,1385,1385
10001001100010100011010011010111111,10110111000110010001011010111110000,1385,1385
11010101100111110110000001100001011,10011101110101001110000110101100100,1385,1385
10000100100001101010111001011011111,10011100110011111000001010101100110,1389,1389
11111101101011000000101010110011000,10001001011001011000111010001111101,1387,1387
11011011011100000001011000111011100,11000011010101011011101100001010011,1387,1387
10001000010110100011101100111110110,10111000111010011001111010000010101,1387,1387
11101100000100101000111110110101100,10100111010011100010111110100010001,1389,1389
11100100010111011111010011100010000,11010110110000101110011010000101101,1387,1387
11000111111001100000010011010101011,11011110010010010111001001010110001,1389,1389
11101010011111010111000010010001001,11110010000110111101010110010011000,1385,1385
11111110110000101100100010110001010,11101001101110001100111101001010000,1385,1385
11011001110101001000011000011101110,11000001011101001011010100011111100,1389,1389
10001111010001000100010110111110101,11011110010010111100011011000101000,1385,1385
10111100101100100010011100000101111,10110011101011000101111001101000010,1391,1391
11111111010011001010110000101001000,11101011011000001011100110010111000,1385,1385
11111101100010100001100101001110010,10001101110100000101101101110001110,1387,1387
11101110100101001101000000110111001,11100001011101001110000101001101110,1387,1387
11111101101000101000001111001000110,11101011101001010110110001100110000,1385,1385
11111110011110100100011010100010000,11110011010001011011000110010101001,1385,1385
11111110011110100100011010100010000,10011001011101011000010110001101110,1385,1385
11001010111101111010100000011100010,10001110110011011011000010100111100,1389,1389
11101011101011011110000001001100100,10010110000010111100110001101010111,1387,1387
11011100101101111100010100000101001,10011100100101111100100011010001011,1383,1383
10111110011110010010100101010000011,10011011100000101101100111101010001,1387,1387
11001110101111010011101010000010010,11010000011101110001001100111110010,1389,1389
10000100011010101111001011011111000,11010010011110001011100010010011101,1387,1387
10001101010001100100010010111110111,11111010000111001110100010011010010,1385,1385
11010111110110100011111000001001000,10001000101101011100100111001101011,1387,1387
11110101011011011011001100010000001,10000010111100110010101101011100011,1387,1387
10010111110011101010110011000000101,11100100101011110001000011011110010,1387,1387
11011000010001011100000110110101111,11011010011000111010100100011101001,1385,1385
11111111001101001000101010011000100,11100011001011000011111100101010010,1385,1385
10000101000001011100111001101101111,11010100001011110010100011101101100,1385,1385
11100000100011001111011011101010010,11000011001011101000110010100101111,1387,1387
10001111010110110111001011100010000,11000000111100110100100111010101110,1387,1387
11000100100010110100001101011101111,10000010111100110010101110011010011,1385,1385
11111101110001001100101000011010010,10011110100000111100110010010101011,1387,1387
10000111011110011011101010011010000,11010001100101111100011010010001011,1387,1387
11111110100010000110110000101011100,11100110100110100011110001001010110,1389,1389
11111101101100001000010101011110000,11001010111011000010110011001011001,1387,1387
11101110000100100000111101110100110,10000111100101011100101011001110100,1387,1387
10010110101000100011000101110111110,11010111001111000001111011001001000,1391,1391
11101001000000101011110011110100110,11000101011000011011110100011011001,1387,1387
11011110100010011010100001001100111,11001010001011011010000111100011101,1387,1387
11111001000011000101010001111010110,10010011011111000101001011110010001,1389,1389
11111110111001100010100010110100000,11000101101011110010100011011001001,1387,1387
11111101110110010100001011100001000,10001101110101001101001111000100101,1389,1389
11000001000011100110011101010111110,10101101100011111000100100101110100,1391,1391
10000011000100100111001101011101111,11010000101011011110000101110101100,1387,1387
10001010010111101110111100000001110,10110101001100111100110100010110001,1387,1387
10011101101001011101000000100011111,10111100110010111000101101001100010,1387,1387
11111110101000100100110001001111000,11101010100101100011110110110000100,1391,1391
11101000011011111011100110010100000,11001000101101011110010100011110100,1389,1389
11101010000001001110110110110111000,10011000011110100111101000100101011,1385,1385
11111110110100010101100000110011000,11000010101101111010001100101100101,1389,1389
10011011110110010111010100001000011,11010010010001111100001100110101011,1385,1385
10000001110101000110110111101110100,10100011101001011100110001111100100,1387,1387
11011101110100001101001100000101011,10010101100110011110011010000011110,1385,1385
11001000001001101110010111101110001,10101010100101101111000001100100111,1389,1389
10011101100101111101100010100000011,10101101001101110110000101001111000,1389,1389
10001110111101101010000010001101101,11000011111001001011101010011101000,1391,1391
11111100011000001010101001011011100,10010000011101110001011010011011011,1389,1389
10011000010101000011011001011011111,10000101110011011110001010001110110,1387,1387
11110011110110000001001100101101010,10001110101011000110110010111110000,1385,1385
11101011111010100011100100010010001,10110000011011011010000110111001110,1385,1385
11101111101100100011011000010100001,11001000011101101011001101010100011,1391,1391
11101100111110001100101000000111010,11100010100111011010000011011010110,1387,1387
11111101011100110010000100101110000,10010010000111011100101100101010111,1389,1389
11000110110100000001100111110101011,10101110100001100110110011110010100,1387,1387
11110001011011010100000011000111011,10000110111000101010010111001101101,1387,1387
10010001101011111100111100000001011,11011010010011010011100010101011001,1391,1391
11010110011110000010001010110011011,10010001010011111100100101011000111,1385,1385
11111101111000100001101100001010100,10010001011100100101101100011101011,1389,1389
10001111110011110110001011001010000,10101110100111001000101001111100100,1389,1389
10011110100100011100010001001011111,10101110100111001000101001111100100,1389,1389
10011101010000011100100100010111111,10111100010101100111100110010010100,1389,1389
10100001101000110001100010101111111,10000110111011001010100101100100111,1389,1389
