seq1,seq2,energy1,energy2
111110110000101010010,111001100001110100110,307,307
111101110000010110010,110101011001111001000,305,305
101111100010100100011,110110101001101100001,305,305
111100111010000010110,101010011001101000111,307,307
110110101111100010000,101010011001101000111,307,307
111111010000100110100,101011100110100011100,307,307
101111101011001100000,110100011011000111010,307,307
101110101110110000001,100111010010110100011,309,309
100100001011001111011,110000110110010101011,307,307
101001000010111001111,100011101010001101101,307,307
101101111000001010011,100011101010001101101,307,307
101000011000101101111,101110011000101110100,305,305
100110101000001101111,101011011000101110001,307,307
100110101000001101111,111001010100111001001,307,307
110000010011110101110,101011011000101110001,307,307
110000010011110101110,111001010100111001001,307,307
110111011011100010000,110100011110010100101,307,307
110111011011100010000,100010110110101000111,307,307
110111011011100010000,100101010110110000111,307,307
111111010100110000100,100110101011000111100,307,307
111101110010010001010,111100101001101110000,309,309
111011101100001010001,110100011101100010110,307,307
