seq1,seq2,energy1,energy2
11001110011110100010010001011,11000010111011011101000011010,791,791
11111011000001101010011010100,11110001110111011010010001000,791,791
11000100101111010011100001101,11001001000011001111110101010,799,799
10101110111110000110100010001,11100100101011011000110001011,795,795
11101101000011011001110010100,11111101011100000110010100010,799,799
11110011011111001010100010000,11110100100101011110011001000,799,799
11010110011110111010011000000,11000010110101011100001101110,795,795
10100101010111001001100011101,11111101100111000011010000010,795,795
10010001111011000110100101110,11001101111101010000011000101,799,799
10001111010100011011010100110,10011001111101111000000110010,799,799
11001110011110100010010001011,11111011000001101010011010100,791,791
11110110100110011000000111010,11110011000010111010001011010,791,791
10100111101011100100000100111,10011001010001101111010001110,791,791
10100111111010100000110001101,10011001010001101111010001110,791,791
11111011101000111001000010100,11010010011111010100011011000,791,791
11111110100110010101000011000,11010010011111010100011011000,791,791
11111101011010001010001100100,11111011000010111001010011000,795,795
11001001000100011101011010111,11011101011000011110100001100,793,793
11100011000010010011111010101,11011100100010101101101110000,793,793
11110111010110110010001010000,10101111010000111100110001001,795,795
11110101101110001000001110010,11001010001110110000101110110,795,795
11101011110011001010001000101,11100010011111001011000010110,795,795
11101011101100101100000011001,10100011001111010001011110100,795,795
11010111001110110110100000001,10001001100101101011100010111,795,795
10100001001111110011110010010,10101110001100110110100001011,793,793
11001101011100111111000000010,10101100101011000101100111100,795,795
11011111001101100001010100001,11011011000110101011110010000,795,795
11111110010110001100001010100,11110010001100101110110100010,793,793
11011010110100011000000111110,11101010100110110011100010001,799,799
10011101111010011110000100010,10001111101001100010101101100,795,795
11110000001100010110110101110,11111000101011011001100010100,795,795
11101101000101100000110011101,10110001010111100101100001011,793,793
10000001010111101101101100011,11100001001110011011001010101,793,793
10110000100100011101001011111,11000111010100101110110010001,795,795
11111001110111000001001010100,10001100101011100100100101111,799,799
11010111011010110010001000011,10010100011111100010011010011,795,795
11001011110111101000001010100,11110000101110100100110011100,795,795
10011110110011110101011000000,11010011100010011111001010100,793,793
10100111111001011101100001000,11110010100101011101100110000,795,795
11001010111111011000011000100,10000111001101010100100101111,795,795
10111100110111011100001000100,10000111001101010100100101111,795,795
11010111101110010010110000001,10001010110110010001011110011,793,793
10011010110111011110000001010,10001111011000100110110100011,795,795
10100111011011101011000000011,10001110011010110000101101110,793,793
10010000001111101110110100011,10110010101110001101101011000,797,797
10001000001011100110111010111,11100101101101000010111011000,795,795
11100100001001011000111101011,10111010100011001101101110000,797,797
11011001111110101001000110000,10001111010001001111010110010,797,797
11111101101010100110010000100,11110010011010111000111000010,797,797
11111110100110010100011000010,10001011110010011100101110010,795,795
10111010110110001000101000111,11010100100110011110000011110,797,797
11101110110011101001001000001,11001010011111000010101011001,795,795
11000001010010011010011101111,10100011011010100011101110001,797,797
11111101101010000110010100010,11011011000110100011110010001,797,797
10111110101101110000110001000,11001001000111101001100101011,799,799
11111101101000001100110001010,10001011010100110100110001111,797,797
10000111001000111110111101000,11010010010111011001010110001,795,795
11111010101101101100000001100,10011001110010101011000011110,795,795
11011110011010010110000001011,10011011000011101100010101011,797,797
10111011111000101001100001001,10100110001101010110100001111,797,797
10101011110011111001000010010,11110001001101111000110010010,795,795
11111100101101111000001000100,10001101110010101010011010011,799,799
10110010000011100010101101111,11011000110101011001101000011,795,795
11101110111001001010001010001,10011111000001101110010100101,797,797
